Messi,94,Argentina,Paris Saint-Germain
Ronaldo,94,Portugal,Manchester United
Neymar Jr,92,Brazil,Paris Saint-Germain
Hazard,91,Belgium,Real Madrid
De Bruyne,91,Belgium,Manchester City
Modrić,91,Croatia,Real Madrid
Suárez,91,Uruguay,Atlético Madrid
Chiellini,90,Italy,Juventus
Oblak,90,Slovenia,Atlético Madrid
Kroos,90,Germany,Real Madrid
Lewandowski,90,Poland,FC Bayern München
Kane,90,England,Tottenham Hotspur
Godín,90,Uruguay,Atlético Madrid
Kanté,89,France,Chelsea
Courtois,89,Belgium,Real Madrid
Dybala,89,Argentina,Juventus
Salah,89,Egypt,Liverpool
Ter Stegen,89,Germany,FC Barcelona
Cavani,89,Uruguay,Paris Saint-Germain
Griezmann,89,France,Atlético Madrid
Neuer,89,Germany,FC Bayern München
Agüero,89,Argentina,FC Barcelona
Bale,88,Wales,Real Madrid
Pogba,88,France,Manchester United
Handanovič,88,Slovenia,Inter
Van Dijk,88,Netherlands,Liverpool
Buffon,88,Italy,Paris Saint-Germain
Eriksen,88,Denmark,Tottenham Hotspur
Lloris,88,France,Tottenham Hotspur
Mbappé,88,France,Paris Saint-Germain
Reus,88,Germany,Borussia Dortmund
Koulibaly,88,Senegal,Napoli
Hummels,88,Germany,FC Bayern München
Insigne,88,Italy,Napoli
Aubameyang,88,Gabon,Arsenal
Higuaín,87,Argentina,Chelsea
Icardi,87,Argentina,Inter
Immobile,87,Italy,Lazio
Alderweireld,87,Belgium,Tottenham Hotspur
Sterling,87,England,Manchester City
Navas,87,Costa Rica,Real Madrid
Umtiti,87,France,FC Barcelona
Rodríguez,87,Colombia,FC Bayern München
Rakitić,87,Croatia,FC Barcelona
Mertens,87,Belgium,Napoli
Vertonghen,87,Belgium,Tottenham Hotspur
Müller,86,Germany,FC Bayern München
Benzema,86,France,Real Madrid
Mané,86,Senegal,Liverpool
Pjanić,86,Bosnia Herzegovina,Juventus
Sané,86,Germany,Manchester City
Verratti,86,Italy,Paris Saint-Germain
Varane,86,France,Real Madrid
Skriniar,86,Slovakia,Inter
Kimmich,86,Germany,FC Bayern München
Szczęsny,86,Poland,Juventus
Bonucci,86,Italy,Juventus
Lukaku,86,Belgium,Manchester United
Perišić,85,Croatia,Inter
Di María,85,Argentina,Paris Saint-Germain
Lacazette,85,France,Arsenal
Nainggolan,85,Belgium,Inter
Džeko,85,Bosnia Herzegovina,Roma
